product_id,title,category,brand,price,description
1,Wireless Bluetooth Headphones,Electronics,SonicWave,79.99,Over-ear noise cancelling wireless headphones with 30-hour battery life
2,Smart Fitness Watch,Electronics,FitPulse,129.99,Fitness smartwatch with heart rate monitor and GPS tracking
3,4K Ultra HD TV 55 inch,Electronics,VisionMax,499.99,55-inch 4K UHD smart television with HDR support
4,Gaming Laptop 16GB RAM,Computers,PowerTech,1199.99,High performance gaming laptop with 16GB RAM and RTX graphics
5,Mechanical Keyboard,Computers,KeyPro,89.99,RBG mechanical keyboard with blue switches
6,Wireless Mouse,Computers,ClickMate,29.99,Ergonomic wireless mouse with adjustable DPI
7,USB-C Charging Cable,Accessories,CableCore,12.99,Fast charging USB-C cable 1 meter length
8,Portable Bluetooth Speaker,Electronics,SoundBeat,59.99,Waterproof portable speaker with deep bass
9,External Hard Drive 1TB,Computers,DataStore,64.99,1TB USB 3.0 external portable hard drive
10,Smartphone 128GB,Electronics,NextGen,699.99,128GB smartphone with AMOLED display and dual camera
11,Cotton T-Shirt Men,Clothing,FashionHub,19.99,Soft cotton crew neck t-shirt for men
12,Running Shoes Women,Footwear,ActiveStep,89.99,Lightweight running shoes with breathable mesh
13,Leather Wallet,Accessories,UrbanStyle,39.99,Genuine leather wallet with multiple card slots
14,Sunglasses UV Protection,Accessories,SunGuard,24.99,Polarized sunglasses with UV400 protection
15,Backpack 20L,Accessories,TravelPro,49.99,Durable 20 liter backpack for travel and school
16,Office Chair Ergonomic,Furniture,ComfortSit,199.99,Ergonomic office chair with lumbar support
17,Standing Desk Adjustable,Furniture,FlexiWork,399.99,Height adjustable electric standing desk
18,LED Desk Lamp,Home,LightHouse,34.99,Dimmable LED desk lamp with touch control
19,Stainless Steel Water Bottle,Home,HydroMax,22.99,Insulated stainless steel bottle 750ml
20,Ceramic Coffee Mug,Home,DailyBrew,14.99,Large ceramic coffee mug 350ml
21,Electric Toothbrush,Personal Care,SmilePro,59.99,Rechargeable electric toothbrush with 3 modes
22,Hair Dryer 2000W,Personal Care,StylePro,39.99,Professional 2000W hair dryer with diffuser
23,Beard Trimmer,Personal Care,GroomEase,29.99,Rechargeable beard trimmer with precision blades
24,Digital Kitchen Scale,Home,MeasureIt,19.99,Accurate digital food scale up to 5kg
25,Air Fryer 5L,Home,KitchenPro,129.99,5 liter air fryer with rapid hot air circulation
26,Blender 700W,Home,BlendMaster,49.99,High speed blender with stainless steel blades
27,Espresso Coffee Machine,Home,CafePro,249.99,Semi automatic espresso machine with milk frother
28,Non Stick Frying Pan,Home,ChefLine,29.99,Non stick 28cm frying pan for everyday cooking
